Hemalatha,hema@gmail.com,1234,hema,8072621946,web developer,90,B.E,,,,,,
yogeshwar,yogesh@gmail.com,5541,yogesh,6385283115,software engineer,90,B.E,,,,,,
Iniya,Iniya@gmail.com,2807,iniya,123456789,Sales Representative,90,B.E,,,,,,
Harini,Harini@gmail.com,1207,harini,12356898,Project Manager,90,B.E,,,,,,
Priya,Priya@gmail.com,3456,priya,468906458,software analyst,90,B.E,,,,,,
Anu,Anu@gmail.com,1308,anu,5678904678,Manager,90,B.E,,,,,,
Sri,Sri@gmail.com,2515,sri,56894938,Web Designer,90,B.E,,,,,,
Varshini,Varshini@gmail.com,1216,varshini,526273789,technician,90,B.E,,,,,,
Pooja,Pooja@gmail.com,2007,pooja,12347895,computer programmer,90,B.E,,,,,,
Vishal,Vishal@gmail.com,2005,Vishal,4670987643,Database Analyst,90,B.E,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,gne
